Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
"Reunited (feat. GZA, Ol' Dirty Bastard, RZA & Method Man)","Wu-Tang Clan, GZA, Ol' Dirty Bastard, RZA, Method Man",Wu-Tang Forever,4r3TaXjF2b1qwCpxjIpW43,2CxOJwC4jqWfPQdahEX9oH,53,1997-06-03,321733,True,https://open.spotify.com/track/2CxOJwC4jqWfPQdahEX9oH,0.611,0.721,8,-7.607,1,0.443,0.037,0.000116,0.184,0.832,180.072
"For Heavens Sake (feat. Inspectah Deck, Masta Killa & Cappadonna)","Wu-Tang Clan, Inspectah Deck, Masta Killa, Cappadonna",Wu-Tang Forever,4r3TaXjF2b1qwCpxjIpW43,5JF2C8MdEonfb2ryeZ9Bxe,43,1997-06-03,253707,True,https://open.spotify.com/track/5JF2C8MdEonfb2ryeZ9Bxe,0.535,0.856,0,-4.6,1,0.253,0.0895,0.0,0.279,0.649,178.029
"Cash Still Rules / Scary Hours (Still Don't Nothing Move but the Money) (feat. Raekwon, Method Man & Ghostface Killah)","Wu-Tang Clan, Raekwon, Method Man, Ghostface Killah",Wu-Tang Forever,4r3TaXjF2b1qwCpxjIpW43,0f4QXQYzy5ocaeIO6DoxrD,44,1997-06-03,181600,True,https://open.spotify.com/track/0f4QXQYzy5ocaeIO6DoxrD,0.552,0.675,10,-6.695,0,0.364,0.224,0.0,0.2,0.876,119.448
"Visionz (feat. Method Man, Raekwon, Masta Killa, Inspectah Deck & Ghostface Killah)","Wu-Tang Clan, Method Man, Raekwon, Masta Killa, Inspectah Deck, Ghostface Killah",Wu-Tang Forever,4r3TaXjF2b1qwCpxjIpW43,3cuy0jpSxGAoTuJE0KORoR,46,1997-06-03,189267,True,https://open.spotify.com/track/3cuy0jpSxGAoTuJE0KORoR,0.776,0.596,11,-6.017,0,0.348,0.0197,0.0,0.2,0.437,88.927
"As High as Wu-Tang Get (feat. Ol' Dirty Bastard, GZA & Method Man)","Wu-Tang Clan, Ol' Dirty Bastard, GZA, Method Man",Wu-Tang Forever,4r3TaXjF2b1qwCpxjIpW43,1XbqOF6nx3tJsyQjXRh9ux,49,1997-06-03,158133,True,https://open.spotify.com/track/1XbqOF6nx3tJsyQjXRh9ux,0.823,0.561,7,-7.33,1,0.322,0.00497,7.76e-05,0.142,0.561,91.979
"Severe Punishment (feat. U-God, GZA, Raekwon, RZA & Masta Killa)","Wu-Tang Clan, U-God, GZA, Raekwon, RZA, Masta Killa",Wu-Tang Forever,4r3TaXjF2b1qwCpxjIpW43,4RRvVSpreSh8psHZodRUU7,41,1997-06-03,289733,True,https://open.spotify.com/track/4RRvVSpreSh8psHZodRUU7,0.635,0.674,4,-6.771,0,0.342,0.015,1.01e-05,0.201,0.467,102.174
"Older Gods (feat. Ghostface Killah, Raekwon & GZA)","Wu-Tang Clan, Ghostface Killah, Raekwon, GZA",Wu-Tang Forever,4r3TaXjF2b1qwCpxjIpW43,3ZwmNUJgd83cZLNbQw6BSB,39,1997-06-03,185960,True,https://open.spotify.com/track/3ZwmNUJgd83cZLNbQw6BSB,0.855,0.719,9,-9.123,1,0.304,0.0177,0.0,0.113,0.655,93.046
"Maria (feat. Ol' Dirty Bastard, Cappadonna & RZA)","Wu-Tang Clan, Ol' Dirty Bastard, Cappadonna, RZA",Wu-Tang Forever,4r3TaXjF2b1qwCpxjIpW43,0NaJxQF9ZvQwitHluOa2Ho,36,1997-06-03,175373,True,https://open.spotify.com/track/0NaJxQF9ZvQwitHluOa2Ho,0.627,0.632,1,-9.085,1,0.405,0.187,0.0,0.716,0.727,89.587
"A Better Tomorrow (feat. Inspectah Deck, Masta Killa, U-God, RZA & Method Man)","Wu-Tang Clan, Inspectah Deck, Masta Killa, U-God, RZA, Method Man",Wu-Tang Forever,4r3TaXjF2b1qwCpxjIpW43,1OB7p2ulZT8Z8qkY5akeZB,39,1997-06-03,295200,True,https://open.spotify.com/track/1OB7p2ulZT8Z8qkY5akeZB,0.667,0.551,11,-9.631,1,0.289,0.0152,1.05e-06,0.677,0.369,91.072
"It's Yourz (feat. Raekwon, U-God, RZA, Inspectah Deck & Ghostface Killah)","Wu-Tang Clan, Raekwon, U-God, RZA, Inspectah Deck, Ghostface Killah",Wu-Tang Forever,4r3TaXjF2b1qwCpxjIpW43,31GUM30kjMPY93SrVh1InN,46,1997-06-03,256893,True,https://open.spotify.com/track/31GUM30kjMPY93SrVh1InN,0.817,0.794,11,-9.434,0,0.334,0.0835,0.0,0.798,0.621,93.067
